,INVENTORY LIST,,,,,,,,,,,,,,,,,,,,
,TOTAL INVENTORY VALUE:,$0.00 ,INVENTORY ITEMS:,INVENTORY ITEMS:,83,BIN COUNT:,,1,,,,,,,,,,,,,
,SKU,DESCRIPTION,BIN #,LOCATION,UNIT,QTY,REORDER QTY,COST,INVENTORY VALUE,REORDER,,,,,,,,,,,
,33032,270 Camber Pro - Front wing ,,Wing wall,Each,1,,,$0.00 ,,,,,,,,,,,,
,801401,210 CAMBER PRO LCS RIPCORD,,Wing wall,Each,5,,,$0.00 ,,,,,,,,,,,,
,33031,210 Camber Pro - Fron Wing,,Wing wall,Each,2,,,$0.00 ,,,,,,,,,,,,
,33030,160 Camber Pro,,Wing wall,Each,1,,,$0.00 ,,,,,,,,,,,,
,80143,220 High Aspect X front wing,,Wing wall,Each,1,,,$0.00 ,,,,,,,,,,,,
,80144,180 High Aspect X front wing,,Wing wall,Each,1,,,$0.00 ,,,,,,,,,,,,
,33042,120 High Aspect X - Front wing M39,,Wing wall,Each,1,,,$0.00 ,,,,,,,,,,,,
,80120,90 High Aspect X front wing,,Wing wall,Each,1,,,$0.00 ,,,,,,,,,,,,
,80128,70 High aspect X front wing,,Wing wall,Each,1,,,$0.00 ,,,,,,,,,,,,
,80043,300 Surf V2 front wing,,Wing wall,Each,1,,,$0.00 ,,,,,,,,,,,,
,80040,150 Surf V2 front wing,,Wing wall,Each,4,,,$0.00 ,,,,,,,,,,,,
,33060,92 Havoc - Front Wing,,Wing wall,Each,1,,,$0.00 ,,,,,,,,,,,,
,33068,74 Havoc - Fron Wing,,Wing wall,Each,4,,,$0.00 ,,,,,,,,,,,,
,33051,62 Kaikea - Front Wing M30,,Wing wall,Each,3,,,$0.00 ,,,,,,,,,,,,
,33036,36 Glide - Back Wing,,Wing wall,Each,5,,,$0.00 ,,,,,,,,,,,,
,33016,32 Glide - Back Wing,,Wing wall,Each,2,,,$0.00 ,,,,,,,,,,,,
,80044,48 Surf V2 - Back Wing,,Wing wall,Each,1,,,$0.00 ,,,,,,,,,,,,
,33044,20 Carve - Back Wing M30,,Wing wall,Each,2,,,$0.00 ,,,,,,,,,,,,
,80179,20 Carve Ext - back wing kit,,Wing wall,Each,4,,,$0.00 ,,,,,,,,,,,,
,33053,21 Flow - Back Wing M30,,Wing wall,Each,11,,,$0.00 ,,,,,,,,,,,,
,80014,Elite hand controller,,Row 1,Each,7,,,$0.00 ,,,,,,,,,,,,
,80019,Lift hand controller,,Row 1,Each,3,,,$0.00 ,,,,,,,,,,,,
,80015,Stf hand controller V2,,Row 1,Each,1,,,$0.00 ,,,,,,,,,,,,
,999525,Lift5 4'4 red rock,,,Each,1,,,$0.00 ,,,,,,,,,,,,
